judul	bahan	langkah
tumis ikan layur	ekor ikan layur, buah jeruk nipis, garam, pcs cabe rawit merah, pcs cabe merah, pcs cabe hijau, bawang merah, bawang putih, ruas jahe, cabe merah goreng, air, lembar daun salam, garam, kaldu bubuk	sih ikan layur. garam air peras jeruk nipis diam menit bilas. iris bahan tumis. sisih. goreng ikan layur matang. angkat sisih. tumis bawang merah bawang putih harum. masuk iris cabe. iris jahe daun salam aduk. tambah cabe goreng. air. garam. kaldu bubuk. masuk ikan layur aduk masak bumbu resap air susut. tumis ikan layur hidang
ikan kuah kuning	potong ikan tenggiri, buah jeruk nipis, lembar daun salam, lengkuas, geprek, buah cabe rawit merah utuh, sesuai selera, batang sereh, geprek, buah tomat, ikat kemangi, batang daun bawang, iris tipis, air, garam, gula pasir, kaldu jamur, bawang merah, bawang putih, kunyit, jahe, kemiri, buah cabe merah optional	ikan cuci bersih. kucur air jeruk nipis campur garam aduk diam menit cuci bersih. tumis bumbu halus sereh. lengkuas daun salam. harum. masuk ikan daun bawang. aduk. tuang air tunggu air didih masuk garam. gula. sedap. aduk masak ikan matang sempurna. tambah peras air jeruk nipis. cabe rawit. tomat. daun kemangi masak sebentar angkat
mangut tuna asap	ikan asap, bumbu halus, buah cabe merah, buah bawang merah, bawang putih, buah tomat, potong, ketumbar bubuk, lada bubuk, kunyit bubuk, bumbu aromatik, lembar daun salam, batang sereh, lembar daun jeruk, lengkuas, jahe geprek, bumbu, santan kental, air, cabe utuh, garam, gula kaldu	tumis bumbu halus bumbu aromatik harum tambah air masuk ikan asap. tambah tomat santan koreksi masuk cabe utuh. mangut ikan asap saji nasi hangat
pepes kembung	daun pisang, ekor ikan, , ikat daun kemangi, daun salam, bumbu halus, buah bawang merah, bawang putih, kunyit, jahe, kemiri, garam, kaldu bubuk, gula pasir	tumis bumbu halus matang halo amis lembar daun pisang letak ikan bumbu lupa daun salam daun kemangi. ikat ikan tusuk atas kukus menit. saji ikan lauk andal pakai sambal nasi hangat
makarel goreng simpel	makarel, sachet bumbu marinasi instan	sih ikan sayatsayat badan marinasi bumbu minimal menit malam. goreng ikan matang sisi. saji sambal suka
martabak mini abon tongkol	abon ikan ganti corned isi, telur, daun bawang, garam, kaldu bubuk, lembar kulit lumpia	masuk abon. iris iris daun bawang. tambah telur aduk sendok isi. lipat amplop lipat risol. panas api. goreng golden brown
pesmol ikan tenggiri	ikan tenggiri, lumur garam amp peras jeruk nipis, diam menit bilas goreng cokelat tiris, sisih, buah tomat, potong, cabai rawit merah utuh, cangkir air, bawang merah, bawang putih, kemiri, cabai merah keriting, kunyit bubuk, jahe bubuk, ketumbar bubuk, lengkuas bubuk, serai bubuk, daun salam bubuk, daun jeruk bubuk, sedap ajinomoto, garam, gula pasir, lada bubuk	siap bahan. tumis bumbu halus harum masuk bumbu sedap. cabai rawit potong tomat. air. masak air kental. masuk tenggiri goreng. aduk rata. cek angkat. saji nasi hangat enjoy
ikan tuna crispy saus ricarica	ikan tuna putih fillet, batang daun bawang, minyak wijen, kecap asin, lada bubuk, gula pasir, bawang putih bubuk bawang putih, bonggol bawang bombai, cabai merah keriting rawit, buah tomat saus tomat, saus sambal, saus tiram, kecap inggris, merica, air, telur, tepung maizena, tepung terigu, baking powder, garam	potong sesuai selera ikan tuna. cuci bersih siap bumbu marinasi marinasi sebentar menit. kocok lepas telur siap bahan tepung balur aduk campur ikan tuna telur aduk siap minyak panas api. balur ikan tepung pijat perlahan tepung rata krispi goreng emas. siap bumbu ricarica. leleh margarin tumis bawang putih. bawang bombay cabai harum masuk sisa bumbu. aduk tunggu kental. masuk daun bawang ikan tuna crispi aduk saji
sambal picit ikan kembung	ekor ikan kembung, buah terong, bakar, asam jawa, buah jeruk cui opt, cabe rawit, cabe rawit hijau cabe keriting hijau pakai cabe hijau, terasi gorengbakar pakai terasi puger, garam sedap, air, sayur rebus bayam kacang	sih ikan. taruh wajan. tuang air. garam. sedap asam jawa aduk rebus ikan matang. mangkuk piring taruh cabe. terasi. garam picit pencet cabe rebus mentah. tuang air rebus ikan saring. koreksi peras air jeruk limojeruk cuijeruk nipislimau kuit suka asam. bikin versi jeruk pakai jeruk. tata daging ikan rebus. terong bakar sayur saji. siram kuah ikan saji. foto pakai air jeruk cui
lele goreng krispy	lele isi, bungkus bumbu instan marinasi, lt minyak goreng, g tepung serbaguna	cuci bersih lele tabur bumbu marinasi instan diam sampe jam. goreng tepung serba yg diadonin goreng. campur bahan tepung aduk masuk lele goreng sampe kering matang. rebus bahan sambel blender tumis sampa wangi tambah garam gula kaldu bubuk cek. selesai saji
pesmol ikan nila	g nila goreng, biji bawang merah, bawang putih, biji kemiri, ruas jahe, ruas kunyit, lembar daun jeruk, garam, kaldu bubuk, gula pasir, cuka masak	siap bahan bumbu siap ikan goreng nyahaluskan bumbu tumis. tambah cabe bubuk masak sampe wangi tambah air cuka garam gula kaldu bubuk. masuk ikan. masak sampe kuah didih cek selesai
sambal ikan roa pedas mantap nikmat	cabai rawit merah, cabai rawit hijau, bawang merah, bawang putih, minyak goreng, garam, kaldu, ikan roa bubuk	chopper cabai. sisih. chopper bawang merah putih. sisih. sangrai ikan roa. chopperblender ikan roa sangrai. sisih. tumis bawang wangi. masuk cabai. garam kaldu. masak api. warna ubah bau langu hilang diadukaduk. masuk bubuk ikan roa. aduk koreksi dingin. simpan wadah tutup ide jual
pempek ada palembang ikan tenggiri mix ikan kakap	ikan giling kakap super, ikan giling tenggiri super, cuil gula pasir skip, putih telur, tepung sagu tani rose brand, minyak goreng, minyak goreng goreng, peres garam halus, minyak goreng goreng, air dingin sesuai tekstur ikan, bawang putih halus, lada bubuk, pc santan kara ukur besarsantan murni total masuk freezer sebentar dingin beku, bawang bombay, cincang halus pakai bawang sesuai, batang daun bawang, iris tipis, daun seledri, iris, cuka pempek, iris timun	aduk ikan. gula. air. bawang putih putih telur campur rata pakai mixer jugaspatula kayu kurleb menit. masuk garam tahap diadukaduk kental menit. masuk tepung tahap. tambah minyak goreng. masuk bahan isi. tambah santan. aduk rata. panas minyak goreng kemudiaan kecil api cetak adon tangan bentuk bulat cetak baso adon tenggelam minyak. besar api api. apung bolak adon simpan masak pempek matang. dingin. simpan freezer olah saji cuka pempek iris timun
ikan bawal goreng	gram ikan bawal hitam, sachet bumbu instan racik, , garam halus, minyak goreng, sambal tomat, mentimun	siap gram ikan bawal hitam cuci bersih. potong kerat sesuai selera. lumur ikan bumbu instan garam halus rata marinasi menit. goreng ikan minyak goreng panas matang warna kuning emas angkat tiris. ikan bawal goreng saji
tongkol jengkol balado	ikan tongkol, buah jeruk asam, cabe rawit, buah cabe merah, bawang putih, bawang merah, minyak, garam, sedap, gula pasir, bungkus bumbu ayamikan goreng, jengkol muda, helai daun jeruk	sih ikan tongkol. peras jeruk asam tambah bumbu ikanayam goreng. aduk marinasi menit. siap cabe bawang. rebus air didih masuk bumbu air. rebus menit mati kompor. kupas jengkol rendam air dingin mudah kupas kulit jengkol muda tua. menit. goreng ikan tongkol minyak panas api cenderung ikan matang. goreng jengkol sebentar. blender kasar bumbu rebus. tambah daun jeruk. garam. sedap gula masuk jengkol. matang masuk ikan tongkol goreng. saji
ikan tenggiri panggang madu	potong ikan tenggiri ukur, bersih, cuci bersih, peras jeruk lemonnipis, air peras jeruk lemon, madu, kecap manis, olive oil oles teflon, air putih, bumbu halus marinasi, bawang putih, bawang merah, gula aren, sisir, jahe bubuk, lada bubuk, garam, bahan tabur, wijen putih	siap bahanbahan marinasi. tambah air putih peras air jeruk lemon. aduk rendam ikan bahan marinasi menitangkat. pisah ikan bahan marinasinya. bahan marinasi nya kecap maduaduk rata. panas teflon. oles olive oil. taruh ikan tuang campur bahan marinasi. panggang dibolakbalik tuang rata bahan marinasinya sampe habis panggang ikan matang cokelat angkat. tuang piring saji. tabur wijen putihsiap nikmat
