judul	bahan	langkah
terong balado diet friendly	cabe merah, cabe rawit opsional, suka pedas, bawang merah, terong ungu, gula, garam, sedap totole, minyak banget	blender cabe rawit. cabe merah bawang merah menggugnakan chopper minyak. air. potong terong gampang bersihin kukus cuci bersih terong dgn air garam. diam menit. kukus terong menit api. bumbu balado blender tum banget minyak pake minyak teflon nggak lengket. tambah garam gula sedap bumbu balado koreksi. kalo rasa. bolak tambahin air bumbu balado susut sampe tekstur bumbu balado pas. suir suir terong kukus masuk terong disuir dalam bumbu balado adukaduk satu voila less guilt terong balado
kukus diet	buah bawang putih, buah bawang merah, cabe, cabe, balok, serut sayur wortel, jamur kuping cincang, brokoli hijau cincang, lada bubuk, kaldu jamur	blender bumbu halus. bumbu halus masuk potong dadu blender halus masuk lada bubuk. kaldu jamur test masuk plastik segitiga. ambil cetak kue bebas bentuk. tuang dalam cetak. topping sayur layer. kukus matang. matang dingin sebentar. saji kukus sayur asem segar
seblak diet jamin kenyang	buah telur, buah otakotak ikan, slice putih potong dadu, lembar sawi putih potong, buah pakcoy potong, jamur kuping, kaldu jamur, minyak tum, kencur kelingking, buah bawang merah, buah bawang putih, cabe, cabe	minyak teplon tunggu panas. masuk bumbu halus tumis minyak nya. ceplok telur bumbu orak arik masuk otak otak. air. masuk sayur sayur teplon kaldu jamur tes nya. angkat saji hangat. jamin mantul
kaya toast pandan isi butter ala singapore breakfast set sarap	buah kuning telur, gula pasir, santan kental pakai instan segitiga, air, tepung maizena, pasta pandan ganti pakai daun pandan, lembar roti tawar, mentega, telur, air didih, air es, lada hitam bubuk, garam, tea bag, air panas, kental manis sesuai selera, gula sesuai selera	siap bahan selai kaya. campur bahan kecuali kuning telur aduk. kocok lepas kuning telur busa. didih adon nomer aduk santan pecah gelembung ambil masuk telur. aduk cepat masuk wajan. aduk kental dikit porsi plus minus menit kental dingin suhu ruang. rebus air didih siap air es masuk telur air didih. pasang timer menit detik selesai angkat telur masuk air es. pecah telur tambah lada hitam garam. panggang roti mentega toaster garing. oles selai kaya letak iris butter atas tutup roti belah. saji teh susu teh susu standar bikin teh tambah kental manis gula aduk selamat nikmat bye diet wkakakaka
tumis pakcoy diet	buah pakcoy, telur, slice potong dadu, bawang putih iris tipis, bawang merah iris tipis, minyak, kaldu jamur, saus tiram	panas teplon minyak. masuk bawang putih bawang merah tumis bau nya wangi. pecah telur dalam teplon. tunggu mateng orak arik lupa kaldu jamur dikit ya biar telur asa. tambah dalam teplon. tunggu cokelat. saus tiram asa. tambah air dalam teplon tunggu kurang air masuk pakcoy tumis tambah saus tiram aduk hinga campur. saji nasi. nggak sayur aja gin enak. selamat coba
oat cake in jar kue diet enak	tepung oat pakai quaker oat merah halus, buah pisang, baking powder, susu cair cokelat pakai low fat diet ya, kismis, keping biskuit dark chocolate tambah isi topping opsional, gelas jar tutup pakai wadah ya	halus oatmeal tekstur tepung masuk gelaswadah. hancurkanhaluskan pisang masuk gelas jarwadah. tambah baking powder. campur kismis. dark chocolate. biskuit kaya. tuang susu cair tambah rasa. aduk bahan tambah topping sesuai selera. siap oven suhu c panggang adon menit kukus oven. tadaaaa. deh kue oat brownies ngisi perut pagi selamat coba
overnight oat in jar diet	oatmeal pakai quaker oatmeal instan merah, susu cair cokelat diet baik pakai susu low fat, kacang almond panggang skip ganti jenis kacang suka pakai sunflower pumpkin seed, sesuai selera aja ya, kismis skip, chia seeds, gelas jar tutup	tuang oat gelas takar tambah. sesuai selera aja ya. masuk kacang almond oh iya. hancur kacang halus. biar gampang makan. masuk chia seed kismis. tuang susu cokelat bahan rendam. aduk bahan tambah topping biskuit cokelat atas. tutup gelas jarnya. simpan kulkas malam besok pagi udah nikmat
menu diet diabetes melitus	bawang merah, bawang putih, buah cabe keriting, buah cabe rawit, jahe, kunyit, kemiri, buah cabe rawit, lembar daun salam, batang sereh, buah tomat hijau, garam, ikat kemangi, bawang putih, ruas cabe rawit, buah tomat hijau, kecap asin, kecap manis, ikat kangkung, air, kacang hijau, santan instan, gula pasir	cuci bersih ikan kotor peras jeruk nipis. halus bahan bumbu halus cobek. siap lembar daun pisang letak ekor ikan daun pisang. lumur bumbu halus ikan muka nya letak bahan tambah ikan atas bungkus daun semat lidi kukus pepes ikan menit an matang. tumis kangkung tumis bawang putih. cabe rawit. tomat hijau bau harum tambah kecap asin. kecap manis. air masuk kangkung. masak sebentar menit angkat tiris. bubur kacang hijau rebus kacang hijau lunak. tambah santan gula pasir masak aduk bubur kacang hijau tekstur lunak matang. takar porsi diet dm nasi merah pepes ikan mas tumis kangkung bubur kacang hijau rendah gula
egg folded tortilla kcal menu diet	buah kulit tortilla, telur banyak kurang, wortel, potong, slice keju optional, garam, merica bubuk, kaldu bubuk, minyak, saus sambal, oregano kering	potong kecilkecil wortel. sisih. kocok telur. tambakhan garam. kaldu bubuk. merica wortel. panas wajan. oles minyak. masak telur. matang aja ya. telur balik. tambah tortilla atas. tunggu sebentar. telur. masak matang ya. lupa balik. telur. pasti posisi tortilla bawah ya. tambah keju slice atas telur. lipat telur biar keju leleh. angkat. kasih saus. tabur oregano. enjoy
nasi jagung diet simple pakai magic com	cangkir beras, buah jagung manis, pipil, bawang putih, minyak utk tum, garam, kaldu ayam, air tanak nasi	iris tipis bawang putih. goreng kering angkat tiris. siap wadah rice cooker masuk beras yg cuci. jagung manis pipil. bawang putih goreng. garam. kaldu ayam bubuk tambah air masak nasi aduk. masak rice cooker tunggu matang. matang buka rice cooker aduk nasi jagung nikmat
cofee banana muffin low calorie	banana matang hancur, oat utuh blender kasar, telur, sachet coffee instan low calorie, butter cair, baking powder, baking soda, vanili	pisang hancur campur telur. mentega cair tepung oat. bp bs. vanili campur. adon mentega pisang campur. atas tabur dark choco keju kraft panggang menit suhu
bolu diet oats banana	oats, baking soda, himsalt, madu, butter leleh, telur ukur, vanili, buah pisang, chocochip	panas oven suhu c menit panggang masuk bahan kecuali chocochip. blender halus lembut. masuk choco chip aduk perlahan. tuang loyang x oles margarin alas kertas roti toping sesuai selera. masuk oven panggang suhu c menit tes tusuk tempel matang. saji
salad bumbu kacang	buah wortel, buah labu siam, ikat bayam, buah timun, bumbu kacang instan, air panas, buah jeruk kalamansi blh skip	kupas potong wortel labu siam sesuai selera. rebus wortel. labu siam bayam empuk. tiris. larut bumbu kacang instan air panas kental tambah peras jeruk kalamansi biar seger. skip kalo gak. tata sayur piring. salad sayur cocol bumbu kacang
martabak kulit lumpia edisi diet	putih, telor ukbesar, batang daun bawang, kulit lumpia, garam, lada, sedap	hancur. hancur masuk daun bawang yg iris. telor. bumbu garam sedap lada aduk rata. siap kulit lumpia. sendok adon taro atas kulit lumpia lipat laku adon habis. dpt biji susun martabak dlam airfryer. panas menit martabak ala diet utk saji
capcay sederhana menu diet	gram baby corn, gram wortel, gram pokcoy, telur ayam, buah bawang bombay, bawang putih, buah cabai rawit, saos tiram, sedap, minyak goreng	cincang kasar bawang putih. bawang bombay. cabai rawit sisih iris tipis wortel baby corn. panas minyak. bikin orak telur. sisih sisi wajan. masuk bawang putih. bawang bombay. cabai rawit tumis bumbu harum. aduk. masuk wortel baby corn. aduk tambah air. tambah saos tiram sedap. koreksi. masykan pokcoy. masak air susut habis saji
kering tempe kentang garing eat clean version	blok tempe harga ribu, kentang, bawang merah, buah bawang putih, buah cabai keriting suka pedas, tambah cabai rawit, garam, gula, kecap manis, margarin, bumbu tempe, buah bawang putih, garam, air	iris tempe bentuk persegi tipistipis. halus buah bawang putih tambah garam air campur diam menit. sembari tunggu. sih kentang. kupas sisih kulit chips kulit kentang resep diupload resep. iris tipis kentang ukur tempe. goreng tempe air fryer suhu menit lupa tambah panas air fryer menit sesuai air fryer masingmasing. . goreng menit sisih. goreng kentang air fryer suhu menit. . goreng menit sisih. tunggu tempe kentang matang. siap bumbu iris tipis bawang merah. bawang putih. cabai merah keriting. panas margarin. tumis bawang merah. bawang putih. cabai harum. kecil api masuk kecap. garam. gula aduk gula larut. masuk tempe kentang. masak cepat campur api cenderung angkat. saji. tips cegah kentang browningberubah warna tunggu gilir goreng. rendam kentang wadah isi air
telur panggang no oil menu diet	buah putih, telur, batang bawang bombay, potong, bumbu oranye baput, bamer, cabe halus, merica, garam	hancur putih. campur bahan. panggang teflon anti lengket tekan adon adon tipis muka matang cokelat. angkat saji
mie shirataki spesial diet kaloriporsi	mie shirataki basah, sosis sapi, potongpotong, bakso sapi, potongpotong, buah udang bersih, telur, bawang bombay, rajang, bawang putih, cingang halus, wortel, potong tipis panjang, brokoli, saus tiram, saus tomat, saus sambal, jumput garam, jumput gula, kaldu bubuk non msg, lada bubuk, mentega, air rebus	rebus mie shirataki tunggu didih. tiris. tumis bawang putih bombay mentega harum ceplok telur orak arik sebentar masuk udang. sosis. bakso masuk saus tiram. sambal. saus tomat aduk. masuk wortel brokoli. tumis sebentar tambah air matang. tunggu ering. masuk mie shirataki. garam. lada. gula. kaldu bubuk aduk cek saji
strawberry smoothies healthy diet	strawberry frozen potong, strawberry yoghurt frozen pakai biokul, madu, air	blender bahan halus. saji gelas minum selagi dingin nikmat topping sesuai selera enjoy
pecak tempe tauge sambal menu diet	papan tempe ukur x, genggam tauge segar, buah cabe merah, bawang merah, bawang putih, garam, kaldu bubuk	tempe kukus rebus rebus bahan sambal. tempe matang halus ulek dibejek cobek didih air. rendam tauge bersih matang halus bahan sambal. masuk tempe campur sambal tambah tauge. aduk rata. segar sehat
jus buah menu sarap diet	pisang ambon ukur buah, batang wortel, buah tomat, air dingin matang air mineral	cuci bersih wortel n tomat. potong masuk blender. air blender speed. menit mati blender. kupas pisang. potong. masuk blender tambah sisa air. blender dg cepat menit mati blender hidang
roti kukus daging ayam menu diet	lembar roti tawar pakai roti gandum, daging dada ayam cincang lemak, wortel potong dadu, bawang putih halus, telur kocok lepas, susu uht low fat, air, garam lada bubuk, keju cheddar, daun seledri ganti parsley, sachet saos sambal	siap kukus. alas serbet tutup tunggu kukus panas potong kecilkecil roti tawar sisih. campur bahan aduk masuk roti tawar aduk muka roti tawar campur adon. tuang wadah tahan panas parut keju tabur seledri kukus kurleb menit. saji saos sambal so yummy gurih creamy. tekstur lembut banget anakanak suka
tumis capcay diet ala mamci	putih telur, telur puyuh, sosis sapi, siomay kukus dada ayam fillet, bakso sapi, wortel, ikat sawi putih, ikat pokcoy, baby corn, bawang putih, bawang bombay, sendok teh kaldu jamur, gula jumput nda pakai micin heehee, jumput garam, jumput lada bubuk, sendok teh kecap ikan, sendok saus tiram, sendok teh saus tomat abc pedas manis	iris wortel serong. iris pokcoy sawi putih pisah batang daun. iris baby corn serong tipis potong sosis. bakso siomaydada ayam sesuai selera. potong cincang bawang putih potong lingkar bawang bombay. kocok putih telur tumis orak arik minyak pakai wajan antilengket rebus telur puyuh biji tiris. tumis bawang putih bawang bombay minyak olive oil sendok teh tumis layu cokelat api ya masak sempurna kalo minyak dikit masak dikit. tp sehat nambah. masuk sosis. bakso. siomaydada ayam. putih telur. telur puyuh tambah wortel air tunggu wortel lunak. tambah batang pokcoy batang sawi putih tunggu layu tambah baby corn masuk daun hijau nya nutrisi gak hilang ya bun masak sempurna ga tll benyek sayur. masuk bumbu sesuai selera icipi pas saji
orak arik telur menu diet sederhana	telur, buah jagung, buncis, wortel, bawang merah, putih, garam, buah cabai rawit	rebus buah jagung buah putih masak matang tiris. potong buncis. wortel. bawang merah. cabai rawit ukur. halus rebus. masuk potong wortel. buncis. bawang merah. cabai merah tabur garam. masak orak arik minyak aduk matang rata. selamat coba. moga manfaat menu diet sederhana murah riah
oatmeal buah menu diet sederhana	quaker oatmeal, buah alpukat, buah pisang, energen bubukmadu	tuang oatmeal sendok makan. tuang energen sendok makanmadu. seduh aduk oatmeal air panas. kupas buah alpukat pisang. potong sesuai selera. hidang moga manfaat menu diet sederhana
kopi susu low calorie	sachet kopi bubuk merek bebas no sugar, susu diamond low fat, air	seduh kopi air larut air dingin. campur susu low fat
mashed potato menu diet sederhana	buah kentang, sesuai selera daun singkong sayur, jagung manis, bawang putih, garam	masak air didih. masuk kentang jagung cuci bersih. tambah garam rebus matang. kukuspanggang bawang putih matang. halus bawang putih kentang matang. garam. daun singkong masak air didih. masuk daun singkong air didih garam. rebus matang. buang air rebus daun singkong. iris tipis tipis daun singkong. campur kentang halus. hidang sesuai selera moga manfaat menu diet sederhana murah riah
dimsum ayam sawi putih menu diet	gram dada ayam fillet lemak potong tipis, saus teriyaki marinasi pakai kikkoman garlic teriyaki sauce, lembar sawi putih, saus tiram, teriyaki sauce, kecap asin, minyak wijen, wijen sangrai, suka cabe bubuk	marinasi ayam dipotongpotong. simpan wadah tutup masuk kulkas diam minimal jam bumbu resap. siap lembar sawi putih. cuci bersih rebus sebentar lentur mudah gulung angkat tiris. ambil potong ayam marinasi. letak batang sawi. gulung wrap tutup ayam ulang habis. panas kukus. susun dimsum dalam kukus benarbenar matang. tunggu dimsum matang. siap dipping sauce campur saos tiram. kecap asin teriyaki sauce. aduk. tambah minyak wijen bubuh wijen sangrai. aduk suka pedas tambah cabe bubuk iris cabe rawit. dimsum matang. angkat saji hangat sauce
cenil oatmeal versi diet	rolled oat blender, tepung tapioka merk rose brand beda merk beda kalori, sachet diabetamil sweetener, kelapa parut, jumput garam, air hangat, warna makan cair	kukus kelapa parut. jumput garam sisih. campur oat. tapioka diabetamil aduk tambah air hangat adon pulung lengket tangan tambah warna makan aduk. bentuk adon sesuai selera letak wadah tabur tapioka adon tempel. didih air panci air didih. masuk adon bentuk masak adon apung tiris campur cenil parut kelapa saji
apple oatmeal cake gluten free	buah apel, oatmeal instan rolled oats, telur, air lemon, madu, kismis, almond optiona	rebus apel air didih angkat. tiris halus chopper sisih. kocok telur manual garpu masuk bahan apel halus. oatmeal. air lemon. madu. kismis sisa toping aduk. siap wadah tahan panas alas kertas roti tuang adon rata toping kismis almond atas. panggang oven suhu c menit. matang angkat diam sebentar keluar cetak kue saji
martabak telur panggang gluten free minyak diet	lembar kulit lumpia, buah putih, telur, batang daun bawang, garam, kaldu jamur amp lada bubuk	masuk bahan isi mangkuk. aduk. siap kulit lumpia. isi lipat amplop. panas teflon api panggang lumpia atas tutup teflon. cokelat. panggang angkat. taraaa matang. silah coba
tteokbokki oatmeal diet sehat	oatmeal biru merah, sawi hijau, telur rebus, tepung maizena tapioka, kaldu jamur cukup nya, bawang merah, bawang putih, cabe merah sesuai selera ya, daun bawang cukup nya, saus tiram pedas, saus tiram, garam cukup nya, bon cabe cukup nya, saus sambal	halus oatmeal blender. oatmeal halus tambah kaldu jamur cukup nya tepung maizena aduk. tambah air hangat adon padat. bentuk adon potong sesuai selera. rebus adon tunggu bbrapa menit rasa padat tiris. panas sdikit minyak tumis bawang merah. putih. tambah cabe daun bawang tumis harum tambah air. masuk tteokbokki sawi hijau potong bumbu saus. tambah kaldu jamur garam cukup nya tunggu matang. rasa matang tteokbokki siapp disajikann lupa tambah telur rebuss biar kenyangggg
jus diet namananas mangga	mangga harum manis, air dingin, mangkok sdg nanas	campur bahan blender sampe halus. mantapppp
kulit lumpia minyak gluten free diet	gram tepung beras, tepung tapioka, telur, air, garam himalaya	siap wadah masuk bahan. aduk. panas pan celup adon. panggang api kulit lumpia matang sisih. taraaa jadiii. silah coba
bubur granola sehat cocok diet	granola, saset energen kacang hijau optional, air	panas air hinggaendisih. aaukkan granola masak menit. angkat. masuk energen. adukaduk. hidang mangkuk. diam sebentar santap menu sarap
jus diet mangga	mangga harum manis, air dingin	kupas mangga sampe bersih. potong blender sampe halus. hmmmm nikmattt
menu diet salad kail tomat timun	tangkai sayur kail, buah tomat, buah timun, jeruk nipis, cabe rawit	cuci bersih sayur. tomat. timun. cabe. iris tipis tomat. timun. sayur cabe air jeruk nipis. campur aduk dgn tangan remas sari tomat cabe satu. saji ubi singkong protein nya ikan. ayam. tempe kukus bakar alhamdulillah real food
jus tomat low kalori	buah tomat buah uk, gelas air aqua me gelas keramik, sachet gula diabetasol	blender bahan saring enjoy
breakfast rendah kalori	ubi oren, telur, edamame, salad dressing	panggang ubi menggunaka airfryerkukusrebus. rebus telur edamame. langsung hang. selamat coba
bolu labu kuning lowcarb	bahan a, labu kukus halus me pakai, sachet nutrijell plain, sachet santan instan ganti fiber creme, olive oil jenis, kismis toping sesuai selera, bahan b, telur, sachet diabetasol kurma cincang, sejumpat garam	siap bahan. mixer bahan b cepat maximal kental jejak. masuk bahan a kecuali kismis. mixer sebentar cepat rendah bahan campur aduk bahan spatula. bahan satu. siap loyang oles olive oil. tuang adon. hentakkan an loyang tabur kismis kukuspanggang sy panggang cetak kue lumpur krg mnt. tes tusuk. lengket kue matang. mati api tunggu dingin keluar loyang kukus simpan lemari es saji. potong kue saji
tumis pakis diet enak diabetes	ikat sayur pakis, bawang merah, bawang putih, cabe rawit, minyak goreng, gelas air, garam merica bubuk	cuci bersih sayur pakis. potong buang keras siap bumbu iris tipis bawang merah tumbuk bawang putih cabe. panas minyak goreng. tumis bawang merah layu tambah bawang putih tambah cabe rawit. tumis harum. kering bau langumentah. bumbu matang. masuk sayur pakis aduk. aduk sayur pakis layu tuang air. panas. garam merica bubuk tutup wajan masak sayur pakis empuk tes. matang mati api hidang
baso diet	dada ayam giling, pcs sumedang, wortel, batang bawang daun, minyak wijen, bawang putih bubuk, ladi putih bubuk, garam	giling dada ayam. pake blender kasih ice batu dikit. parut wortel campur. masukin bawang daun. lada putih bubuk. bawang putih bubuk. garam minyak wijen aduk. potong sumedang. potong nyilang kaya segitiga. keluarin isi buang makan mamah hehe. masukin daging giling campur bumbu wortel. laku adon habis. goreng kukus. kukus menit. kukus coba stock simpen wadah taruh kulkas. selamat coba
tumis tempe manis diet gekrada	papan tempe, cabe rawit, bawang merah, bawang putih, lada royco, gelas air panas, kecap manis, saus tiram	potong dadu tempe. iris bawang merah. bawang putih cabai rawit. masuk iris cabai rawit. bawang merah bawang putih api minyak. masuk tempe. matang. masuk air panas. lada. royco. kecap manis. saus tiram. koreksi pas tumis tempe manis diet saji
oatmeal banana bread gluten free panggang oven cemilan diet	buah pisang ambon matang, rolled oat, telur, madu, chocochip bungkus, baking soda	blender campur bahan siap wadah blender masuk potong pisang. tambah rolled oat. tambah telur. madu. baking soda. . blender campur masuk chocochip. aduk. tuang adon loyang ukur x lapis kertas roti oles margarin tabur chocochip. panggang oven panas suhu derajat c. menit laku tes tusuk. bersih. matang keluar loyang. biar dingin iris banana bread versi sila cek
jus diet apel mangga	apel, mangga, air dingin	blender bahan sampe halus saring. bilamana kenyang lbh serat monggo ga saring lg selera yaa. nikmattt
panggang saos tiram diet	bj, bj cabe rawit, saos tiram, oregano, kecap manis, kaldu jamur, tepung maizena	potong segitiga. panggang teplon minyak. bumbu masuk saos tiram. kaldu jamur. kecap manis. cabe rawit potong sdkt air. stlh didih masuk tepung maizena tunggu kental angkay. siram yg sdh panggang nikmat
biji labu panggang cemilan diet	biji labu mentah, garam, air rebus, biji labu mentah biji labu panggang	cuci bersih biji labu sisih. didih air. masuk biji labu tambah garam rebus matang warna ubah empuk angkat tiris. sangrai biji labu rebus wajan minyak kering bunyi kletek. kayak kulit kacang pecah pakai api ya aduk angkat saji
kebab telur rendah kalori	lembar kulit kebab, lembar kol, telur, garam, lada, saus cabe	buang batang kol iris tipis masak atas teflon air gak pake minyak ya tambah garam lada pakai lada sisih. masak kulit kebab cokelat sisih goreng telur ceplok dadar oke telur kasih garam. taruh kol telur atas kebab saus cabe hidang menu praktis rendah kalori gak tau ya kalori
capjay sehat low kalori	gram wortel, gram buncis, kembang kol, sosis, bakso, air, bawang bombay, bawang putih, kecap asin tropicana low sodium, kecap manis, minyak wijen, lada, sedap, saus tiram pake merk lee kum kee, maizena utk kental	cuci bersih potong bahan isi wortel. buncis. bakso. sosis. kembang kol. potong bawang bombay sisih. iris cincang bawang putih masuk wadah. masuk lada. kecap asin. kecap manis. minyak wijen saus tiram wadah bawang putih. larut air. tumis bawang bombay minyak harum tuang air. masuk sayur tunggu empuk. masuk bakso sosis. masuk larut maizena bumbu sedap. icip hidang cinta. selamat coba
udang kentang diet	ekor udang sitto sih udang kepala ekor, kentang potong kentang cuci bersih amp rebus, bawang putih rajang kasar, buah bawang bombay potongpotong, saus tiram, garam, saus sambal, bubuk peterseli, merica	tumis bawang putih bawang bombay harum. masuk saus tiram saus sambal. masuk udang masak merah tambah air putih. masuk kentang yg rebus aduk sebentar. masuk bubuk peterseli. angkat saji
jus diet timun kayu manis	air dingin, timun potong, kayu manis	campur bahan blender sampe halus saring. segerrrr
skinny rendang dada ayam diet no santan kalori	dada ayam, beli k bumbu pasar, lembar daun kunyit, lembar daun jeruk, batang sereh	potong ayam sesuai selera. masuk bahan kecuali ayam wajan anti lengket. tumis campur harum tanek. . masuk ayam aduk bumbu campur ayam. air ayam kandung air tambah garam sesuai selera aduk menit air ayam uap bumbu kering. hidang lengkap sambal silah pakai resep sambal ijo suka tum minyak
nasi goreng cumi minyak margarin diet	cumi basah buah, porsi nasi, buah putih telur, saus tiram, saus sambal, kecap ikan, garam, kaldu bubuk amp lada bubuk, buah cabe merah keriting, bawang putih, batang daun bawang	cuci bersih cumi. potong jeruk nipis diam menit cuci bersih. sisih iris cabe. cincang bawang putih iris daun bawang. panas teflon masuk bumbu iris. tumis minyak kering masuk cumi. tumis matang tambah air masuk nasi. daun bawang. saus tiram. saus sambal. kecap ikan. garam. kaldu bubuk lada bubuk. aduk. masuk putih telur. tumis aduk mati kompor. saji. taraaa matang. silah coba
sambal tomat diet minyak gula	bawang putih, bawang merah, buah cabe rawit domba, buah cabe rawit hijau, buah tomat ukur, buah, garam, gula diet, sy pakai lakanto, kecap manis suka, jeruk limo	iris bahan. kasar aja. masukin chopper. sy pakai merk princess. mantabbb bgt. pake air gampang halusin nya. banyak. or. halus. masuk hasil chopper wajan. didih. tambah garam gula diet cukup nya kecap suka. kental. angkat sambal hidang jeruk sambal
jus diet timun	timun, air matang	siap bahan. masuk timun. masuk air. blender sampe halus. saring suka serat kenyang saring. klo tim saring ya. jadi deh
cake diet enak gizi	pcs biskuit gandum pake merk wholemeal biscuit, ultra milk full cream dus, gram cokelat putih, g susu kental cair sachet, gram maizena	halus biscuit gandum. masuk susu ultramilk full cream dalam biskuit gandum halus. aduk tambah susu kental manis. aduk campur masuk maizena. masak api teflon anti lengket. kental. sisih wadah. leleh cokelat putih. balur cake sisih
jus diet manggayakult	mangga harum manis, botol yakult, es batu	campur bahan blender sampe halus. yummmiiii
jus diet wotokeworteltomatkelengkeng	air dingin, wortel, tomat, kelengkeng	campur bahanblender sampe halus. saring deh tim tdk saring langsung minum sajo monggo sesuai selera sajo. enjoyy
pizza oat cocok diet	oat pake rolled oat, telur, garam, gula, margarin, buah tomat ukur, saos pedas, kaldu jamur, kecap asin, gula, ayam, suwir, helai sawi hijaucaisim ganti bayam potong, buah bawang bombay, potong	blender rolled oat. letak wadah. campur telur tambah garam gula aduk adon encer. panas teflon margarin. api. masuk adon rata. adon kembang jd takut tipis tutup adon sisi matang. tunggu adon. blender bahan saos. bahan saos. rata pizza masuk topping satu. bahan saos parut keju quick melt atas tutup teflonnya. diam menit cek keju leleh. saji. dingin. oat keras selamat nikmat
tempe santan diet diabetes	buah, papan tempe kacang, daging, buah cabe ijo, buah cabe rawit, buah tomat hijau, lembar daun salam, lembar daun jeruk, batang serai, bawang putih, cincang halus, air, garam, gula aren, buah cabe merah, bawang merah, bawang putih, ruas jahe, ruas kunyit, ruas lengkuas, air, buah kemiri	iris. tempe daging. iris cabe hijau. rawit tomat hijau halus bumbu. santan kemiri blender kemiri air. tumis bawang putih cincang wangi. masuk bumbu halus bumbu masak langu. masuk daging. masak daging ubah warna air masuk tempe kacang aduk. santan abalabal santan kemiri tambah garam gula aren masak pas daging benarbenar empuk saji beras merah
sambal korek low calorie	buah cabai rawit, bawang putih, sachet man kalori, garam, minyak goreng panas	cuci cabai bawang putih. man rendah kalori garam. ulek kasar cabai bawang. tuang minyak panas. ulek halus. santap pakai nasi anget
alpukat strawberry jam menu diet	buah alpukat, selai strawberry tropicana slim rendah gula, chia seed, skim milk	pilih alpukat matang potong. tambah selai stroberi. chia seed. tambah skim milk aduk sampe campur. serah aduk engga. kalo suka dibejek biar nyampur walaaa enak nikmat dingin
sarap diet chia seed oatmeal apel cinnamon kkal	sachet light meal apple cinnamon, air, apel, iris, almond slice, sprinkle kayu manis bubuk	siap bahanbahan. tuang sachet light meal apple cinnamon. tambah air didih air microwave menit air masak kental. susun topping
es buah sop buah	apel, alpukat, semangka, melon, bungkus plain, sirup markisa, selasih, rendam air hangat, susu uht, air gula, susu skm, sirup marjan cocopandan, air, es batu	potong buah sesuai selera letak buah wadah. rendam selasih air hangat. markisa siap air masuk panci bungkus plain. letak gula sirup markisa masak didih. cetak tunggu dingin potong sesuai selera. tuang susu uht. air gula. susu skm. sirup cocopandan merah air wadah letak buah. test. manis tambah air gula susu skm letak selasih es batu es bua saji keluarga. nb merah murni buah naga
sop buah simple	semangka, pepaya, anggur, skm cocopandan, sirup gula, selasih	potong buah pakai buah ap aja yg masuk wadah. tambah skm cocopandan. sirup gula. air es. aduk. cicip tingkat manis sesuai selera aja ya. masuk kulkas tambah es batu segeerrr
sop buah cocopandan	buah semangka, potong kotak, buah melon, potong kotak, buah pear, potong kotak, sirup cocopandan me tropicana slim, sachet susu kental manis, nata de coco	masuk potong buah nata de coco. tuang sirup skm sesuai selera tambah air estes. manis tambah air tambah es batu
sop buah naga sirup marjan	buah apel potong dadu, buah pear potong dadu, buah naga kerok isi pakai sendok teh, swalow warna hijaumerah potong kotak, es batu, sirup marjan cocopandan, susu kental manis	taruh es batu hancur mangkuk. tambah potong apel. pear buah naga. sirup marjan susu kental manis sesuai selera susu mantep. aduk. es cair tes pas manis
sop buah sirup cocopandan	kiwi, pear, semangka, pepaya, melon, selasih, sirup cocopandan, skm putih, air matang, es batu	siap bahan. potong buah sesuai selera. rendam selasih air. siap mangkok campur buah. selasih. air. sirup marjan susu skm. aduk aduk biar campur. tambah es batu. saji
mpasi snack sop buah naga m	buah naga, susu uht, madu	potong buah naga tambah susu uht dingin madu aduk bahan. saji
sop buah segaaaar	semangka, melon, apel fuji, pear, buah naga, skm carnation, sirup cocopandan	cuci bersih buah kupas. potong dadu. siap wadah yg. campur buah. tambah skm sirup sesuai selera tambah air putih matang. aduk. cicip masuk kulkas nikmat dingin
ximilu sop buah hongkong	bungkus nata de coco, iris semangka belah dr, buah apel, jagung kaleng, buah naga, chia seeds, sachet fiber cream, gula pasir, air	potong buah. nata de coco. masuk dalam wadah. tabur chia seeds. campur air. fiber cream. gula panci. panas. aduk didih. diam hangat. siram air dalam wadah yg isi buah. masuk dalam lemari es dingin
sop buah susu kambing	sachet susu kambing hni, chia seeds, madu murni tj, air, anggur, buah apel, buah pear, buah alpukat, utk buah optional ajah	potong buah sesuai selera. masuk dalam wadah. susu kambing dgn air panas aduk. tambah dg air. tuang madu wadah buah. tabur dgn chia seeds siram susu kambing wadah. masuk lemari es dingin nikmat
sop buah kreasi firda	buah melon, buah apel, buah anggur merah, buah kelengkeng, buah strawberry, buah bengkoang, gelas sirup sesuai selera, kaleng gelas belimbing susu kental manis vanila, air matang, es batu	potong buah melon serut. kupas kulit bengkoang apel cuci air matang potong ukur dadu. cuci buah anggur buah strawberry air matang kulit anggur kupas kandung antioksidan zat cegah kanker cuci. potong anggur. kupas kelengkeng potong buang biji. kuah tuang sirup. susu kental manis. air wadah aduk rata. susu endap. ambil gelas. masuk buah siap. masuk es batu kuah. hias tepi gelas buah cantik tampil pakai sirup yg warna hijau. hias melon pakai sirup yg warna merah. hias strawberry. nikmat selagi dingin
